id,author,title,content,rating,updated,im:version
14237739892,Brinsona92,😐,😐,5,2026-06-28T10:43:23-07:00,9.1.60
14237739029,Drawn ￼,The best,Has all music,5,2026-06-28T10:43:07-07:00,9.1.60
14237720871,4Ever SCAM on you,Spotify,Spotify is awesome I can listen to all my favorite songs,5,2026-06-28T10:37:25-07:00,9.1.60
14237718348,GBC2783,Ads,I love this app it’s just way to many ads but I love how they are short but they pop up way to often,4,2026-06-28T10:36:37-07:00,9.1.60
14237716470,Dylan 😜,Love the app,Very good music and podcasts!,5,2026-06-28T10:36:02-07:00,9.1.60
14237709494,krigsbee1234,AI Incorporated into a otherwise perfect app,"Spotify is the best music streaming app by far, but the incorporation in AI has made it disgusting slop.",2,2026-06-28T10:33:51-07:00,9.1.60
14237705828,honest game rater🩷,Love Spotify but…,"Look this app is great but 4-5 ads after 2-3 songs is not it, it makes me want to just stop using this app overall and I love music but this is making me not want to listen to it😕😕",3,2026-06-28T10:32:43-07:00,9.1.60
14237697601,Awesome and good￼,Ultra music look up,This app is perfect if you want to find music for your movies or if you just wanna listen to music it’s got all kinds of music has lots of cool features and just as amazing i’m Iron Man destruction@2122 and I approve this message,5,2026-06-28T10:30:07-07:00,9.1.60
14237663958,fatking of milk,Pay to win,Really really bad if you are not using Spotify premium but if you are it’s pretty fine I’m sure there are much better apps out there,3,2026-06-28T10:19:44-07:00,9.1.60
14237639423,Alain Khalasti,#1,u already kno,5,2026-06-28T10:12:06-07:00,9.1.60
14237633894,puppy55216,ads,way to many ads its crazy,3,2026-06-28T10:10:24-07:00,9.1.60
14237612733,Rozie Kensic,Alice-DJ,She’s Great,5,2026-06-28T10:04:00-07:00,9.1.60
14237602411,Someone’s river,Best,This is the best music app everrrrrrr,5,2026-06-28T10:00:56-07:00,9.1.60
14237597846,Masonmolina,SPOTIFY,5 STARS OF COURSE IN MY OPINION IS THE BEST MUSIC APP EVERRRRRRR,5,2026-06-28T09:59:34-07:00,9.1.60
14237583322,Trengal214,Love it.,"Lost the app when I got a new phone, redownloaded it and it saved everything every liked song everything. Listening to the old playlist Bringing me back to life like I was when I was younger.",5,2026-06-28T09:55:10-07:00,9.1.60
14237577903,shelaghk,Love ease of use,Great resource!,4,2026-06-28T09:53:33-07:00,9.1.60
14237570789,its#Giulio,Bad app,It is so badly organised full of ads and bad offers do not get !!!,1,2026-06-28T09:51:25-07:00,9.1.60
14237563564,Granny43Js,BACK TO STAY. Tried another platform briefly but I am back to stay.  Spotify is easier to navigate.,I find it difficult to manipulate my playlist.,5,2026-06-28T09:49:14-07:00,9.1.60
14237544920,Calmteddybear,Music lover,I love listening to music and dance to it this is why I use it everyday,5,2026-06-28T09:43:40-07:00,9.1.60
14237533718,Delilah👑,Best music EVER,Played the best music when I was sad and just gets me so well,5,2026-06-28T09:40:23-07:00,9.1.60
14237524948,Mgschultz,Musica,I like da musicah,5,2026-06-28T09:37:48-07:00,9.1.60
14237522530,MRZROCKS,Bug,After leatest update spotify always in the offiline. Please fix this issue.,4,2026-06-28T09:37:06-07:00,9.1.60
14237522018,mnbnswbhw whahas,1/5,"Horrible unless u have premium. So much ads, limited amount of skips, you cannot pick the order of your songs, etc. It truly does suck unless you have premiun.",1,2026-06-28T09:36:58-07:00,9.1.60
14237514451,Wyatt McKenzie,The best!,I don’t care about the answer what all my favorite music is on here and it’s so fun like I always listen to it and I play games with it,5,2026-06-28T09:34:45-07:00,9.1.60
14237498094,dhanukakb,Price is getting steep when I can get apple music for free with my card,Price is getting steep when I can get apple music for free with my card,4,2026-06-28T09:30:02-07:00,9.1.60
14237493751,Sjenkshdmdkhrm,Jhhg,I lov how many songs it has even old songs,5,2026-06-28T09:28:45-07:00,9.1.60
14237468500,S1lly4li3n!,:3,Awesome sauce,5,2026-06-28T09:21:33-07:00,9.1.60
14237467734,jeffy7472,Advertisements,I know I have free Spotify but there is still a lot of advertisements.,5,2026-06-28T09:21:20-07:00,9.1.60
14237407201,Kselesy,One thing mom,Review your  kesl business,5,2026-06-28T09:03:46-07:00,9.1.60
14237399946,J10 ivan,Songs picking,I love it very much but i want to pick out the songs without having to worry about the app saying pay for picking songs,4,2026-06-28T09:01:40-07:00,9.1.60
